galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
UGC03546,0.6041994787807679,5,UGC03546_rotmod.dat,1.453540165319258,1.0500412246773667,0.0025245481489363,13.0,Peak,1.3958005212192321,1.5958005212192323
UGC03580,1.304635370992338,5,UGC03580_rotmod.dat,1.836144931699781,0.5563285830086061,0.0029383628407131,20.0,Peak,0.695364629007662,0.8953646290076622
UGC04278,2.7830436738713082,5,UGC04278_rotmod.dat,2.999999999995865,0.4314200146856064,0.0027057709842796,25.0,Peak,0.7830436738713082,0.0
UGC04305,3.747703756627017,5,UGC04305_rotmod.dat,1.0510425330198994,2.999999999999788,0.3056349548271227,14.0,Diffus,1.747703756627017,0.9477037566270172
UGC04325,1.9947871938510318,5,UGC04325_rotmod.dat,1.3072173070020698,0.5369569448920857,0.0032845983687366,8.0,Peak,0.005212806148968241,0.20521280614896842
UGC04483,2.3507143711062697,5,UGC04483_rotmod.dat,1.785984222646502,0.6283569309937992,0.0040689206382435,8.0,Peak,0.3507143711062697,0.0
UGC04499,2.1819205613650334,5,UGC04499_rotmod.dat,1.7154852794685551,0.5569550081841629,0.0016858374665661,9.0,Peak,0.18192056136503343,0.01807943863496675
UGC05005,2.4005504767754062,5,UGC05005_rotmod.dat,1.9631042036144235,0.4367852777411478,3.356540898739489e-05,11.0,Peak,0.40055047677540623,0.0
UGC05253,1.021044777925473,5,UGC05253_rotmod.dat,2.505732459793127,0.2413903392963225,0.0389171891398963,29.0,Peak,0.978955222074527,1.1789552220745272
UGC05414,2.280249752123088,5,UGC05414_rotmod.dat,1.8361156245042207,1.0781129906484712,0.0003700961936296,6.0,Peak,0.2802497521230878,0.0
UGC05716,1.6004107530916716,5,UGC05716_rotmod.dat,0.8336465786444122,1.374999068751836,0.001151059624224,12.0,Transition,0.3995892469083284,0.5995892469083286
UGC05721,2.1488878598454986,5,UGC05721_rotmod.dat,1.0004299031604449,0.5566453478650017,0.0093632962988706,23.0,Peak,0.14888785984549857,0.051112140154501606
UGC05750,3.0607036788889705,5,UGC05750_rotmod.dat,2.1122195870835974,0.3341665565598662,0.0005488056133399,10.0,Peak,1.0607036788889705,0.2607036788889707
UGC05764,2.1137442947654828,5,UGC05764_rotmod.dat,2.370623227142964,0.2655913891567562,0.0025609028426794,10.0,Peak,0.11374429476548276,0.08625570523451742
UGC05829,2.317568345414766,5,UGC05829_rotmod.dat,1.2423517810337137,3.0,0.0011993251474823,11.0,Diffus,0.3175683454147662,0.0
UGC05918,2.0609958147091736,5,UGC05918_rotmod.dat,1.1422860028627797,1.0926353883129318,0.0010910498867547,8.0,Peak,0.06099581470917359,0.1390041852908266
UGC05986,2.4784865789823196,5,UGC05986_rotmod.dat,2.301001935989927,0.3126817146621076,0.0002021811734859,15.0,Peak,0.4784865789823196,0.0
UGC05999,1.9898657725824533,5,UGC05999_rotmod.dat,2.7199143872022287,0.3080862189815213,0.0021760878309716,5.0,Peak,0.01013422741754666,0.21013422741754684
UGC06399,2.4144517136109855,5,UGC06399_rotmod.dat,1.7840639261087312,0.5927805540605555,0.0005906161370632,9.0,Peak,0.41445171361098554,0.0
